List of Listed Companies & Contact Information,,,,,,As of 16 Jun 2025,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
SKR,SIKARIN PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"976 Lasalle Road, Bangnatai, Bangna Bangkok",10260,-,-,http://www.sikarin.com
SKY,SKY ICT PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"No. 55, 6-7th Floor, A.A. Capital Ratchada Building, Ratchadapisek Road, Dindaeng, Dindaeng Bangkok",10400,0-2029-7888,0-2029-7879,www.skyict.co.th
SLP,SALEE PRINTING PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"19 Moo 10, Tumbol Klong 4, Klong Luang Pathum Thani",12120,0-2529-6000,0-2529-6010-11,www.saleeprinting.com
SM,STAR MONEY PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"204/1-8 Sukhumwit Road, Thang Kwian, Klaeng Rayong",21110,06-1393-9988,-,www.starmoney.co.th
SMART,SMART CONCRETE PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"11 Moo 9. Banbueng Road, Subdistrict Nung-Irun, District Banbueng Chonburi",20220,0-3844-2500,0-3844-2521,www.smartblock.co.th
SMD100,SMD RISE PUBLIC COMPANY LIMITED,mai,Consumer Products,-,"222, 222/1-2 M.1 West Inn Complex 10 Fl. Soi - Rattanathibet Rd., Bang Rak Yai, Bang Bua Thong Nonthaburi",11110,"0-2527-8075-8, 0-2966-6467-8",0-2966-6471,www.smdrise.com
SMIT,SAHAMIT MACHINERY PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"42, 48 SOI CHOKCHAIJONGJUMROEN, RAMA 3 ROAD, YAN NAWA Bangkok",10120,"0-2295-1000-8, 0-2295-1901-9","0-2295-1009, 0-2295-1020",www.sahamit.co.th
SMPC,SAHAMITR PRESSURE CONTAINER PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"92 Soi Thientalay 7 Yak 4, Bangkhunthien-Chaitalay Road, Samaedam, Bangkhunthien Bangkok",10150,"0-2895-4139-58, 0-2416-5568-9","0-2416-5534, 0-2895-4163",www.smpcplc.com
SMT,STARS MICROELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,"586 Moo 2, Bang Pa-In Industrial Estate, Klongjig, Bang Pa-In Ayutthya",13160,0-3525-8555,0-3522-1778,www.starsmicro.com
SNC,SNC FORMER PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"333/3 Moo 6, Bangpreang District, Amphur Bangbo Samut Prakarn",10560,"0-2108-0360-61,0-2108-0370-72",-,http://www.sncformer.com
SNNP,SRINANAPORN MARKETING PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"325/6-9 Soi Lanluang 7, Si Yaek Mahanak Sub-district, Dusit District Bangkok",10300,0-2628-0408,0-2281-5161,https://www.snnp.co.th/
SNP,S & P SYNDICATE PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"2034/100-103, 23rd Floor, Ital Thai Tower, New Petchburi Road, Bangkapi, Huaykwang Bangkok",10310,0-2785-4000,0-2785-4040,www.snpfood.com
SNPS,Specialty Natural Products Public Company Limited,SET,Consumer Products,Personal Products & Pharmaceuticals,"700/364 Moo 6, Nongmaidang Chonburi",20000,0-3845-8698,0-3845-8697,www.snpspcl.com
SO,SIAMRAJATHANEE PUBLIC COMPANY LIMITED,SET,Services,Professional Services,"329 Moo 10 Kuson Song Samakkhi Soi 1 Old Railway Road, Samrong, Phrapradaeng Samut Prakarn",10130,0-2363-9300,0-2363-9377,https://www.siamrajathanee.com/page-for-ir/
SOLAR,SOLARTRON PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"77/31,32,33 Chaengwattana 15, Intersection 2, Thung Song Hong, Lak Si Bangkok",10210,0-2055-9101-3,0-2055-9104,http://www.solartron.co.th
